,MWF,MW,M,MF,TuTh,Tu,WF,W,Th,FS,F
1100,"Monday, December 11th, 10:15 AM - 12:15 PM","Monday, December 11th, 10:15 AM - 12:15 PM","Monday, December 11th, 10:15 AM - 12:15 PM","Monday, December 11th, 10:15 AM - 12:15 PM","Thursday, December 14th, 10:15 AM - 12:15 PM","Tuesday, December 12th, 10:15 AM - 12:15 PM","Friday, December 15th, 10:15 AM - 12:15 PM","Wednesday, December 13th, 10:15 AM - 12:15 PM","Thursday, December 14th, 10:15 AM - 12:15 PM",,"Friday, December 15th, 10:15 AM - 12:15 PM"
1130,"Monday, December 11th, 10:15 AM - 12:15 PM","Monday, December 11th, 10:15 AM - 12:15 PM","Monday, December 11th, 10:15 AM - 12:15 PM","Monday, December 11th, 10:15 AM - 12:15 PM","Thursday, December 14th, 10:15 AM - 12:15 PM","Tuesday, December 12th, 10:15 AM - 12:15 PM","Friday, December 15th, 10:15 AM - 12:15 PM","Wednesday, December 13th, 10:15 AM - 12:15 PM","Thursday, December 14th, 10:15 AM - 12:15 PM",,"Friday, December 15th, 10:15 AM - 12:15 PM"
1200,"Monday, December 11th, 12:45 PM - 2:45 PM","Monday, December 11th, 12:45 PM - 2:45 PM","Monday, December 11th, 12:45 PM - 2:45 PM","Monday, December 11th, 12:45 PM - 2:45 PM","Thursday, December 14th, 12:45 PM - 2:45 PM","Tuesday, December 12th, 12:45 PM - 2:45 PM","Friday, December 15th, 12:45 PM - 2:45 PM","Wednesday, December 13th, 12:45 PM - 2:45 PM","Thursday, December 14th, 12:45 PM - 2:45 PM","Friday, December 15th, 12:45 PM - 2:45 PM","Friday, December 15th, 12:45 PM - 2:45 PM"
1230,"Monday, December 11th, 12:45 PM - 2:45 PM","Monday, December 11th, 12:45 PM - 2:45 PM","Monday, December 11th, 12:45 PM - 2:45 PM","Monday, December 11th, 12:45 PM - 2:45 PM","Thursday, December 14th, 12:45 PM - 2:45 PM","Tuesday, December 12th, 12:45 PM - 2:45 PM","Friday, December 15th, 12:45 PM - 2:45 PM","Wednesday, December 13th, 12:45 PM - 2:45 PM","Thursday, December 14th, 12:45 PM - 2:45 PM","Friday, December 15th, 12:45 PM - 2:45 PM","Friday, December 15th, 12:45 PM - 2:45 PM"
1300,"Wednesday, December 13th, 12:45 PM - 2:45 PM","Wednesday, December 13th, 12:45 PM - 2:45 PM","Monday, December 11th, 12:45 PM - 2:45 PM","Friday, December 15th, 12:45 PM - 2:45 PM","Tuesday, December 12th, 12:45 PM - 2:45 PM","Tuesday, December 12th, 12:45 PM - 2:45 PM","Wednesday, December 13th, 12:45 PM - 2:45 PM","Wednesday, December 13th, 12:45 PM - 2:45 PM","Thursday, December 14th, 12:45 PM - 2:45 PM",,"Friday, December 15th, 12:45 PM - 2:45 PM"
1330,"Wednesday, December 13th, 12:45 PM - 2:45 PM","Wednesday, December 13th, 12:45 PM - 2:45 PM","Monday, December 11th, 12:45 PM - 2:45 PM","Friday, December 15th, 12:45 PM - 2:45 PM","Tuesday, December 12th, 12:45 PM - 2:45 PM","Tuesday, December 12th, 12:45 PM - 2:45 PM","Wednesday, December 13th, 12:45 PM - 2:45 PM","Wednesday, December 13th, 12:45 PM - 2:45 PM","Thursday, December 14th, 12:45 PM - 2:45 PM",,"Friday, December 15th, 12:45 PM - 2:45 PM"
1400,"Wednesday, December 13th, 3 PM - 5 PM","Wednesday, December 13th, 3 PM - 5 PM","Monday, December 11th, 3 PM - 5 PM","Friday, December 15th, 3 PM - 5 PM","Tuesday, December 12th, 3 PM - 5 PM","Tuesday, December 12th, 3 PM - 5 PM","Wednesday, December 13th, 3 PM - 5 PM","Wednesday, December 13th, 3 PM - 5 PM","Thursday, December 14th, 3 PM - 5 PM","Friday, December 15th, 3 PM - 5 PM","Friday, December 15th, 3 PM - 5 PM"
1430,"Wednesday, December 13th, 3 PM - 5 PM","Wednesday, December 13th, 3 PM - 5 PM","Monday, December 11th, 3 PM - 5 PM","Friday, December 15th, 3 PM - 5 PM","Tuesday, December 12th, 3 PM - 5 PM","Tuesday, December 12th, 3 PM - 5 PM","Wednesday, December 13th, 3 PM - 5 PM","Wednesday, December 13th, 3 PM - 5 PM","Thursday, December 14th, 3 PM - 5 PM","Friday, December 15th, 3 PM - 5 PM","Friday, December 15th, 3 PM - 5 PM"
1500,"Monday, December 11th, 3 PM - 5 PM","Monday, December 11th, 3 PM - 5 PM","Monday, December 11th, 5:30 PM - 7:30 PM","Monday, December 11th, 3 PM - 5 PM","Thursday, December 14th, 3 PM - 5 PM","Tuesday, December 12th, 5:30 PM - 7:30 PM","Friday, December 15th, 3 PM - 5 PM","Wednesday, December 13th, 5:30 PM - 7:30 PM","Thursday, December 14th, 5:30 PM - 7:30 PM",,"Friday, December 15th, 3 PM - 5 PM"
1530,"Monday, December 11th, 3 PM - 5 PM","Monday, December 11th, 3 PM - 5 PM","Monday, December 11th, 5:30 PM - 7:30 PM","Monday, December 11th, 3 PM - 5 PM","Thursday, December 14th, 3 PM - 5 PM","Tuesday, December 12th, 5:30 PM - 7:30 PM","Friday, December 15th, 3 PM - 5 PM","Wednesday, December 13th, 5:30 PM - 7:30 PM","Thursday, December 14th, 5:30 PM - 7:30 PM",,"Friday, December 15th, 3 PM - 5 PM"
